Especificacion
4GB
8GB
12GB
16GB
24GB
32GB
48GB
64GB
96GB
128GB
256GB
512GB
1TB
2TB
DDR5 SODIMM 48GB
DDR5 UDIMM ECC 48GB
DDR5 SODIMM ECC 48GB
DDR5 SOLDADA 48GB
LPDDR5 SOLDADA 48GB
LPDDR5X SOLDADA 48GB
DDR5 UDIMM 64GB
DDR5 SODIMM 64GB
DDR5 UDIMM ECC 64GB
DDR5 SODIMM ECC 64GB
DDR5 SOLDADA 64GB
LPDDR5 SOLDADA 64GB
LPDDR5X SOLDADA 64GB
DDR5 UDIMM 96GB
DDR5 SODIMM 96GB
DDR5 UDIMM ECC 96GB
DDR5 SODIMM ECC 96GB
DDR5 SOLDADA 96GB
LPDDR5 SOLDADA 96GB
LPDDR5X SOLDADA 96GB
DDR5 UDIMM 128GB
DDR5 SODIMM 128GB
DDR5 UDIMM ECC 128GB
DDR5 SODIMM ECC 128GB
DDR5 SOLDADA 128GB
LPDDR5 SOLDADA 128GB
LPDDR5X SOLDADA 128GB
DDR5 RDIMM ECC 128GB
DDR5 LRDIMM ECC 128GB
DDR5 UDIMM 256GB
DDR5 SODIMM 256GB
DDR5 UDIMM ECC 256GB
DDR5 SODIMM ECC 256GB
DDR5 SOLDADA 256GB
LPDDR5 SOLDADA 256GB
LPDDR5X SOLDADA 256GB
DDR5 RDIMM ECC 256GB
DDR5 LRDIMM ECC 256GB
DDR5 UDIMM 512GB
DDR5 SODIMM 512GB
DDR5 UDIMM ECC 512GB
DDR5 SODIMM ECC 512GB
DDR5 SOLDADA 512GB
LPDDR5 SOLDADA 512GB
LPDDR5X SOLDADA 512GB
DDR5 RDIMM ECC 512GB
DDR5 LRDIMM ECC 512GB
DDR5 UDIMM 1TB
DDR5 SODIMM 1TB
DDR5 UDIMM ECC 1TB
DDR5 SODIMM ECC 1TB
DDR5 SOLDADA 1TB
LPDDR5 SOLDADA 1TB
LPDDR5X SOLDADA 1TB
DDR5 RDIMM ECC 1TB
DDR5 LRDIMM ECC 1TB
DDR5 UDIMM 2TB
DDR5 SODIMM 2TB
DDR5 UDIMM ECC 2TB
DDR5 SODIMM ECC 2TB
DDR5 SOLDADA 2TB
LPDDR5 SOLDADA 2TB
LPDDR5X SOLDADA 2TB
DDR5 RDIMM ECC 2TB
DDR5 LRDIMM ECC 2TB
DDR6 UDIMM 8GB
DDR6 UDIMM ECC 8GB
DDR6 RDIMM ECC 8GB
DDR6 LPDDR6 SOLDADA 8GB
DDR6 UDIMM 12GB
DDR6 UDIMM ECC 12GB
DDR6 RDIMM ECC 12GB
DDR6 LPDDR6 SOLDADA 12GB
DDR6 UDIMM 16GB
DDR6 UDIMM ECC 16GB
DDR6 RDIMM ECC 16GB
DDR6 LPDDR6 SOLDADA 16GB
DDR6 UDIMM 24GB
DDR6 UDIMM ECC 24GB
DDR6 RDIMM ECC 24GB
DDR6 LPDDR6 SOLDADA 24GB
DDR6 UDIMM 32GB
DDR6 UDIMM ECC 32GB
DDR6 RDIMM ECC 32GB
DDR6 LPDDR6 SOLDADA 32GB
DDR6 UDIMM 48GB
DDR6 UDIMM ECC 48GB
DDR6 RDIMM ECC 48GB
DDR6 LPDDR6 SOLDADA 48GB
DDR6 UDIMM 64GB
DDR6 UDIMM ECC 64GB
DDR6 RDIMM ECC 64GB
DDR6 LPDDR6 SOLDADA 64GB
DDR6 UDIMM 96GB
DDR6 UDIMM ECC 96GB
DDR6 RDIMM ECC 96GB
DDR6 LPDDR6 SOLDADA 96GB
DDR6 UDIMM 128GB
DDR6 UDIMM ECC 128GB
DDR6 RDIMM ECC 128GB
DDR6 LPDDR6 SOLDADA 128GB
DDR6 UDIMM 256GB
DDR6 UDIMM ECC 256GB
DDR6 RDIMM ECC 256GB
DDR6 LPDDR6 SOLDADA 256GB
DDR6 UDIMM 512GB
DDR6 UDIMM ECC 512GB
DDR6 RDIMM ECC 512GB
DDR6 LPDDR6 SOLDADA 512GB
DDR6 UDIMM 1TB
DDR6 UDIMM ECC 1TB
DDR6 RDIMM ECC 1TB
DDR6 LPDDR6 SOLDADA 1TB
DDR6 UDIMM 2TB
DDR6 UDIMM ECC 2TB
DDR6 RDIMM ECC 2TB
DDR6 LPDDR6 SOLDADA 2TB
