Grupo Empresarial / Matriz
Grupo Ecopetrol
Grupo Empresarial EPM
Grupo Luis Carlos Sarmiento Angulo (Grupo Aval)
Organización Ardila Lülle (OAL)
Grupo Santo Domingo (Valorem)
Grupo Empresarial Antioqueño (GEA) - Sura, Nutresa, Argos
Organización Terpel
Grupo Bancolombia
Grupo Bolívar
Grupo Éxito
Grupo Gilinski
Organización Corona
Grupo Energía Bogotá (GEB)
Avianca Holdings
Grupo Enel Colombia
América Móvil (Claro Colombia)
Keralty (Sanitas)
Promigas
Celsia
Grupo Carvajal
Organización Sanford
Jerónimo Martins (Tiendas ARA)
Koba Colombia (Tiendas D1)
Drummond Ltd.
Refinería de Cartagena (Reficar)
Ecopetrol S.A.
Cenit Transporte y Logística de Hidrocarburos S.A.S.
Refinería de Cartagena S.A.S. (Reficar)
Ocensa (Oleoducto Central S.A.)
Hocol S.A.
Esenttia S.A.
Interconexión Eléctrica S.A. ESP (ISA)
Oleoducto de los Llanos Orientales S.A. (ODL)
Oleoducto Bicentenario de Colombia S.A.S.
Invercolsa S.A.
Ruta del Sol II (participación)
Empresas Públicas de Medellín E.S.P.
Aguas Nacionales EPM S.A. ESP
Empresas Varias de Medellín S.A. ESP (Emvarias)
Central Hidroeléctrica de Caldas S.A. ESP (CHEC)
Empresa de Energía del Quindío S.A. ESP (EDEQ)
Centrales Eléctricas de Norte de Santander S.A. ESP (CENS)
Electrificadora de Santander S.A. ESP (ESSA)
CaribeMar de la Costa S.A.S. E.S.P. (Afinia)
Aguas de Malambo S.A. ESP
Tecnología Intercontinental S.A. de C.V. (TICSA)
Grupo Aval Acciones y Valores S.A.
Banco de Bogotá S.A.
Banco de Occidente S.A.
Banco Popular S.A.
Banco AV Villas S.A.
Corporación Financiera Colombiana S.A. (Corficolombiana)
Administradora de Fondos de Pensiones y Cesantías Porvenir S.A.
Promigas S.A. ESP (Control accionario y participación)
Hoteles Estelar S.A.
Episol S.A.S.
Concesionaria Vial del Pacífico S.A.S. (Covipacífico)
Concesionaria Vial de los Andes S.A.S. (Coviandes)
Concesionaria Vial del Oriente S.A.S. (Covioriente)
Postobón S.A.
RCN Televisión S.A.
RCN Radio S.A.
Incauca S.A.S.
Ingenio Providencia S.A.
Peldar (O-I Peldar - joint venture)
Los Coches La Sabana S.A.
Atlético Nacional S.A.
Iberplast S.A.S.
Central Cervecera de Colombia S.A.S. (CCC - joint venture)
Edina S.A.S.
Valorem S.A.
Caracol Televisión S.A.
Cine Colombia S.A.S.
Koba Colombia S.A.S. (Tiendas D1 - participación accionaria mayoritaria)
Ditransa S.A.
Refocosta S.A.S.
San Francisco Investments S.A.S. (Hotel W Bogotá)
Comunican S.A. (El Espectador)
